title,link,published,publisher,summary,sentiment,confidence
"Microsoft's market cap surpasses $4 trillion mark, joining Nvidia in exclusive club",https://finance.yahoo.com/news/microsofts-market-cap-surpasses-4-trillion-mark-joining-nvidia-in-exclusive-club-141657294.html?.tsrc=rss,"Thu, 31 Jul 2025 14:16:57 +0000",Yahoo Finance,Microsoft's market cap passed the $4 trillion mark today.,POSITIVE,0.871
Why Microsoft and Meta Are Soaring After Earnings,https://finance.yahoo.com/m/513c2a27-72de-364c-8876-778e1946056e/why-microsoft-and-meta-are.html?.tsrc=rss,"Thu, 31 Jul 2025 14:16:00 +0000",Yahoo Finance,"Meta Platforms  and  Microsoft  are both showing that obscene spending on new businesses can work—as long as the older ones are humming.  Meta’s stock price in particular had slumped nearly 6% over the past month, following a flurry of news reports about Chief Executive  Mark Zuckerberg  lavishing nine-figure paydays on artificial-intelligence researchers.",NEGATIVE,0.7098
"A Media Giant Leans on People, a 50-Year-Old Brand, to Confront the AI Age",https://finance.yahoo.com/m/be0e5e59-42e4-3ed6-95e5-32aaf7d17eae/a-media-giant-leans-on.html?.tsrc=rss,"Thu, 31 Jul 2025 14:15:00 +0000",Yahoo Finance,"Dotdash Meredith is entering a new era with an old name.  The company behind titles including Food & Wine and Travel + Leisure is rebranding as People Inc., a nod to its marquee publication.  The previous corporate name, which was born of a 2021 acquisition that created a sprawling magazine empire, was “too clunky and cumbersome and weird,” said  Neil Vogel,  People Inc.’s chief executive.",POSITIVE,0.9407
"The Zacks Analyst Blog Highlights IonQ, NVIDIA, Alphabet, Amazon.com and Microsoft",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-ionq-141300353.html?.tsrc=rss,"Thu, 31 Jul 2025 14:13:00 +0000",Yahoo Finance,"IONQ and NVDA are racing into quantum computing, but only one shows strong earnings, growth, and valuation support.",POSITIVE,0.9852
Microsoft Surges to $4 Trillion Market Cap After Earnings. Why the Stock Is on Fire.,https://finance.yahoo.com/m/edc6528e-3e5c-3024-93e9-b817050fe002/microsoft-surges-to-%244.html?.tsrc=rss,"Thu, 31 Jul 2025 14:10:00 +0000",Yahoo Finance,"Microsoft  stock surged on better-than-expected financial results for its latest quarter and strong guidance, putting the tech giant on track to hit a $4 trillion market cap.  The beat was driven in part by double-digit revenue growth in the tech firm’s closely watched Azure cloud business.  Microsoft posted adjusted earnings of $3.65 a share on revenue of $76.4 billion for the fiscal fourth quarter.",NEGATIVE,0.9964
Meta Stock Surges Near Record High. Everything to Know About the Facebook Parent’s Blowout Earnings.,https://finance.yahoo.com/m/b9a3c123-d194-3088-8f94-0e81a10fda9b/meta-stock-surges-near-record.html?.tsrc=rss,"Thu, 31 Jul 2025 14:08:00 +0000",Yahoo Finance,"Meta’s important metrics—daily users, ad impressions and price-per-ad—all exceeded the Wall Street consensus.",NEGATIVE,0.9948
"Apple Q3 earnings to give Wall Street better view of tariff impact, AI top of mind",https://finance.yahoo.com/news/apple-q3-earnings-to-give-wall-street-better-view-of-tariff-impact-ai-top-of-mind-135026030.html?.tsrc=rss,"Thu, 31 Jul 2025 13:50:26 +0000",Yahoo Finance,Apple will report its Q3 earnings Thursday.,NEGATIVE,0.8947
Here's Why Alphabet (GOOGL) is a Strong Momentum Stock,https://finance.yahoo.com/news/heres-why-alphabet-googl-strong-135002487.html?.tsrc=rss,"Thu, 31 Jul 2025 13:50:02 +0000",Yahoo Finance,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,NEGATIVE,0.9905
"Zacks Investment Ideas feature highlights: Arista Networks, Microsoft and Alphabet",https://finance.yahoo.com/news/zacks-investment-ideas-feature-highlights-135000331.html?.tsrc=rss,"Thu, 31 Jul 2025 13:50:00 +0000",Yahoo Finance,"ANET rallies ahead of Q2 earnings as AI-fueled demand, top-line growth, and estimate revisions lift investor confidence.",POSITIVE,0.9977
"Roblox (NYSE:RBLX) Reports Sales Below Analyst Estimates In Q2 Earnings, But Stock Soars 17.7%",https://finance.yahoo.com/news/roblox-nyse-rblx-reports-sales-133820666.html?.tsrc=rss,"Thu, 31 Jul 2025 13:38:20 +0000",Yahoo Finance,"Gaming metaverse operator Roblox (NYSE:RBLX) missed Wall Street’s revenue expectations in Q2 CY2025, but sales rose 20.9% year on year to $1.08 billion. Next quarter’s revenue guidance of $1.14 billion underwhelmed, coming in 3.5% below analysts’ estimates. Its GAAP loss of $0.41 per share was 13.9% below analysts’ consensus estimates.",NEGATIVE,0.9408
